,TEAM,GP,W,OTW,SOW,OTL,SOL,L,PTS,GF,GA,PIM,PCT
1,Storhamar YA/Stange,11,9,1,0,0,0,1,29,79,24,117,87.88
2,Frisk Asker/NTG,13,9,1,0,0,0,3,29,75,40,140,74.36
3,Stjernen,13,9,0,0,0,0,4,27,66,37,116,69.23
4,Stavanger,14,9,0,0,0,0,5,27,59,39,169,64.29
5,Vålerenga,11,8,0,0,1,0,2,25,59,30,136,75.76
6,Lørenskog/Furuset,13,6,0,1,1,0,5,21,53,48,117,53.85
7,Kongsvinger,13,6,0,0,0,0,7,18,46,50,132,46.15
8,Sparta Sarp,11,5,0,0,0,0,6,15,45,59,117,45.45
9,Manglerud Star,11,3,0,0,0,1,7,10,38,57,105,30.3
10,Lillehammer Elite/NTG,13,3,0,0,0,0,10,9,32,54,152,23.08
11,Nidaros,10,2,0,0,0,0,8,6,14,52,111,20
12,Jar/Jutul,13,1,0,0,0,0,12,3,15,91,106,7.69